species,state
Allantoma_decandra,1
Allantoma_integrifolia,1
Allantoma_lineata,1
Bertholletia_excelsa,3
Cariniana_domestica,2
Cariniana_estrellensis,2
Cariniana_ianeirensis,2
Corythophora_alta,2
Corythophora_amapaensis,2
Corythophora_labriculata,2
Corythophora_rimosa,2
Couratari_calycina,3
Couratari_guianensis,3
Couratari_macrosperma,3
Couratari_multiflora,3
Couratari_oblongifolia,3
Couratari_scottmorii,3
Couratari_stellata,3
Couroupita_guianensis,2
Couroupita_nicaraguarensis,2
Couroupita_subsessilis,2
Eschweilera_aguilarii,3
Eschweilera_alata,3
Eschweilera_albiflora,3
Eschweilera_alvimii,3
Eschweilera_amazoniciformis,3
Eschweilera_amplexifolia,3
Eschweilera_andina,3
Eschweilera_antioquensis,3
Eschweilera_apiculata,3
Eschweilera_atropetiolata,3
Eschweilera_biflava,3
Eschweilera_bracteosa,3
Eschweilera_calyculata,3
Eschweilera_caudiculata,3
Eschweilera_chartaceifolia,3
Eschweilera_collina,3
Eschweilera_collinsii,3
Eschweilera_coriacea,3
Eschweilera_cyathiformis,3
Eschweilera_decolorans,3
Eschweilera_grandiflora,3
Eschweilera_hondurensis,3
Eschweilera_integrifolia,3
Eschweilera_jacquelyniae,3
Eschweilera_juruensis,3
Eschweilera_laevicarpa,3
Eschweilera_mexicana,3
Eschweilera_micrantha,3
Eschweilera_nana,3
Eschweilera_neei,3
Eschweilera_ovalifolia,3
Eschweilera_ovata,3
Eschweilera_pachyderma,3
Eschweilera_panamensis,3
Eschweilera_parviflora,3
Eschweilera_parvifolia,3
Eschweilera_pedicellata,3
Eschweilera_pittieri,3
Eschweilera_pseudodecolorans,3
Eschweilera_rankiniae,3
Eschweilera_rimbachii,3
Eschweilera_sagotiana,3
Eschweilera_sclerophylla,3
Eschweilera_sessilis,3
Eschweilera_subglandulosa,3
Eschweilera_tenuifolia,3
Eschweilera_tessmannii,3
Eschweilera_tetrapetala,3
Eschweilera_truncata,3
Eschweilera_wachenheimii,3
Grias_cauliflora,1
Grias_multinervia,1
Grias_peruviana,1
Gustavia_augusta,1
Gustavia_dubia,1
Gustavia_hexapetala,1
Gustavia_longifolia,1
Gustavia_macarenensis,1
Gustavia_monocaulis,1
Gustavia_serrata,1
Gustavia_speciosa,1
Gustavia_superba,1
Lecythis_alutacea,3
Lecythis_ampla,2
Lecythis_barnebyi,3
Lecythis_brancoensis,3
Lecythis_chartacea,3
Lecythis_confertiflora,2
Lecythis_congestiflora,3
Lecythis_corrugata,2
Lecythis_gracieana,3
Lecythis_holcogyne,3
Lecythis_idatimon,2
Lecythis_lanceolata,2
Lecythis_lurida,3
Lecythis_minor,3
Lecythis_ollaria,3
Lecythis_parvifructa,3
Lecythis_persistens,2
Lecythis_pisonis,2
Lecythis_pneumatophora,2
Lecythis_poiteaui,3
Lecythis_prancei,3
Lecythis_retusa,3
Lecythis_rorida,3
Lecythis_schwackei,3
Lecythis_simiorum,3
Lecythis_tuyrana,3
Lecythis_zabucajo,2
